nothing,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,comp.,mbol,Kepler,g,r,i,z,DDO51_finf,Mact
,1,6.81,0.35,1.39860,0.523,3.821,4.290,10.10,0.000,1,13.562,13.473,13.685,13.415,13.404,13.462,13.555,1.399
,1,6.81,0.35,0.92257,-0.368,3.711,4.562,10.10,0.000,2,15.790,15.784,16.439,15.699,15.512,15.436,16.266,0.923
,1,6.97,-0.33,4.74810,2.674,4.240,4.348,10.70,0.000,0,8.784,10.504,10.149,10.550,10.859,11.137,10.271,4.748
,1,7.05,-0.15,1.94842,1.236,3.975,4.339,11.00,0.000,0,12.680,12.912,12.700,12.928,13.141,13.317,12.730,1.948
,1,7.07,0.09,4.14228,2.419,4.167,4.248,9.70,0.000,0,8.422,9.655,9.323,9.695,9.986,10.243,9.435,4.142
,1,7.21,0.13,6.74397,3.250,4.285,4.103,7.80,0.000,1,4.446,6.377,5.998,6.429,6.755,7.050,6.137,6.744
,1,7.21,0.13,3.30712,2.051,4.099,4.249,7.80,0.000,2,7.442,8.285,7.979,8.319,8.593,8.822,8.075,3.307
,1,7.23,0.33,1.22665,0.244,3.787,4.375,9.30,0.000,1,13.461,13.371,13.707,13.303,13.237,13.256,13.540,1.227
,1,7.23,0.33,0.65233,-1.033,3.628,4.743,9.30,0.000,2,16.653,16.993,18.132,16.969,16.519,16.253,18.138,0.652
,1,7.25,-0.11,1.45682,0.678,3.863,4.320,9.30,0.000,0,12.374,12.355,12.416,12.320,12.370,12.465,12.340,1.457
,1,7.31,-0.09,7.76746,3.527,4.324,4.042,14.10,0.000,0,10.052,12.240,11.851,12.295,12.629,12.933,11.994,7.767
,1,7.33,-0.03,6.23714,3.129,4.273,4.141,11.20,0.000,0,8.147,10.031,9.660,10.081,10.401,10.690,9.794,6.237
,1,7.37,0.21,7.15624,3.406,4.288,3.984,14.30,0.000,0,10.554,12.486,12.105,12.539,12.867,13.164,12.246,7.156
,1,7.41,0.25,2.12871,1.298,3.959,4.250,11.90,0.000,0,13.426,13.568,13.379,13.577,13.780,13.951,13.399,2.129
,1,7.41,0.41,3.24166,2.015,4.085,4.219,8.70,0.000,0,8.432,9.172,8.868,9.206,9.480,9.705,8.966,3.242
,1,7.45,0.11,1.72852,0.950,3.897,4.261,7.20,0.000,0,9.596,9.591,9.554,9.568,9.683,9.814,9.508,1.728
,1,7.53,0.03,2.05141,1.265,3.966,4.294,9.80,0.000,1,11.408,11.592,11.393,11.604,11.810,11.982,11.417,2.051
,1,7.53,0.03,1.35296,0.494,3.824,4.316,9.80,0.000,2,13.335,13.278,13.462,13.228,13.216,13.271,13.344,1.353
,1,7.53,0.09,1.10326,0.032,3.767,4.461,8.70,0.000,0,13.389,13.325,13.718,13.257,13.158,13.150,13.536,1.103
,1,7.53,0.27,2.36514,1.487,3.992,4.241,10.90,0.000,0,11.953,12.238,12.001,12.258,12.489,12.672,12.050,2.365
,1,7.55,0.23,2.32694,1.459,3.987,4.241,9.10,0.000,0,10.222,10.486,10.255,10.505,10.731,10.913,10.300,2.327
,1,7.57,-0.09,1.55744,0.802,3.884,4.310,10.00,0.000,1,12.765,12.763,12.764,12.736,12.823,12.939,12.706,1.557
