#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   7.11 -0.07  2.26145  1.454 4.011  4.329  9.8   0.035 0.00 10.935 11.362 11.123 11.387 11.618 11.801 11.175  2.261
 1   7.15 -0.07  1.82995  1.093 3.942  4.320  9.9   0.036 0.00 11.938 12.075 11.934 12.077 12.249 12.402 11.930  1.830
 1   7.41  0.03  1.36377  0.509 3.826  4.312  8.1   0.027 0.00 11.597 11.564 11.751 11.515 11.501 11.553 11.633  1.364
 1   7.43  0.11  1.29327  0.384 3.807  4.340  9.7   0.035 0.00 13.511 13.471 13.729 13.414 13.371 13.403 13.586  1.293
 1   7.45  0.23  8.11300  3.618 4.307  3.903 11.3   0.038 0.00  7.024  9.096  8.722  9.151  9.477  9.772  8.862  8.113
 1   7.57  0.01  1.73760  0.977 3.911  4.290  9.9   0.036 0.00 12.228 12.286 12.222 12.272 12.400 12.534 12.187  1.738
 1   7.59  0.03  4.78873  2.714 4.197  4.140  8.8   0.031 0.00  6.786  8.236  7.904  8.280  8.573  8.832  8.019  4.789
 1   7.67 -0.03  1.21695  0.282 3.801  4.390  9.9   0.036 0.00 13.964 13.935 14.207 13.880 13.824 13.846 14.060  1.217
 1   7.67  0.07  3.73311  2.284 4.129  4.189  9.2   0.033 0.00  8.259  9.305  9.000  9.343  9.618  9.852  9.099  3.733
 1   7.73 -0.09  0.91003 -0.329 3.727  4.580  7.7   0.025 0.00 13.293 13.295 13.843 13.223 13.057 12.992 13.641  0.910
 1   7.77  0.25  1.82353  1.030 3.906  4.238  6.6   0.018 0.00  8.795  8.807  8.752  8.788  8.916  9.053  8.713  1.823
 1   7.77  0.25  2.13547  1.309 3.958  4.238  9.7   0.035 0.00 11.197 11.368 11.191 11.378 11.573 11.737 11.208  2.135
 1   7.77  0.27  2.13622  1.310 3.959  4.238  9.1   0.033 0.00 10.596 10.764 10.586 10.773 10.969 11.134 10.603  2.136
 1   7.79 -0.03  1.75024  1.006 3.919  4.295  8.8   0.031 0.00 11.056 11.127 11.039 11.118 11.258 11.398 11.013  1.750
 1   7.83  0.19  1.20937  0.219 3.784  4.383  9.6   0.035 0.00 13.823 13.776 14.123 13.710 13.632 13.639 13.952  1.209
 1   7.83  0.23  3.82163  2.344 4.118  4.096  9.5   0.034 0.00  8.410  9.378  9.074  9.415  9.689  9.919  9.176  3.822
 1   7.87 -0.29  2.69664  1.815 4.080  4.320  9.8   0.035 0.00 10.033 10.835 10.555 10.868 11.126 11.335 10.635  2.697
 1   7.91 -0.03  1.31484  0.455 3.822  4.335  5.2   0.011 0.00  8.833  8.790  8.983  8.740  8.723  8.772  8.863  1.315
 1   7.95  0.09  2.15547  1.351 3.971  4.252 10.6   0.037 0.00 11.994 12.227 12.031 12.242 12.448 12.615 12.057  2.155
 1   7.99  0.23  4.29481  2.638 4.127  3.886 13.5   0.038 0.00 11.675 12.690 12.383 12.728 13.004 13.234 12.489  4.295
 1   8.01  0.21  2.93005  1.883 4.043  4.141  9.2   0.033 0.00  9.263  9.832  9.562  9.861 10.113 10.307  9.639  2.930
 1   8.05  0.25  1.39800  0.530 3.820  4.281 10.3   0.037 0.00 13.746 13.698 13.918 13.642 13.622 13.671 13.786  1.398
 1   8.13  0.05  2.23120  1.429 3.983  4.235  8.0   0.026 0.00  9.198  9.475  9.260  9.494  9.710  9.883  9.297  2.231
 1   8.13  0.17  2.59212  1.679 4.010  4.160 10.9   0.037 0.00 11.473 11.882 11.638 11.907 12.141 12.321 11.697  2.592
 1   8.13  0.23  0.67819 -0.967 3.634  4.720  6.2   0.015 0.00 13.387 13.695 14.790 13.654 13.243 13.002 14.794  0.678
 1   8.15  0.07  1.30380  0.416 3.812  4.329  8.8   0.031 0.00 12.529 12.491 12.729 12.437 12.401 12.437 12.593  1.304
 1   8.15  0.25  2.60093  1.683 4.007  4.146  8.4   0.029 0.00  8.964  9.346  9.101  9.370  9.605  9.786  9.159  2.601
 1   8.19  0.07  1.31813  0.439 3.814  4.322  7.0   0.020 0.00 10.672 10.626 10.851 10.572 10.542 10.584 10.719  1.318
 1   8.19  0.11  3.58841  2.338 4.078  3.913  8.8   0.031 0.00  7.725  8.479  8.191  8.512  8.774  8.981  8.282  3.588
 1   8.19  0.19  1.23765  0.274 3.790  4.362  9.3   0.034 0.00 13.384 13.334 13.658 13.271 13.202 13.217 13.494  1.238
 1   8.23  0.05  1.81816  1.067 3.919  4.255  9.6   0.035 0.00 11.703 11.773 11.682 11.764 11.908 12.048 11.658  1.818
 1   8.25 -0.13  2.37507  1.595 4.017  4.231 10.3   0.037 0.00 11.083 11.541 11.297 11.567 11.802 11.983 11.353  2.375
 1   8.25  0.25  1.07826 -0.024 3.756  4.464  8.7   0.031 0.00 13.530 13.488 13.948 13.413 13.294 13.269 13.752  1.078
 1   8.29 -0.27  1.34354  0.581 3.855  4.351  9.0   0.032 0.00 12.318 12.335 12.428 12.299 12.327 12.404 12.342  1.343
 1   8.31 -0.09  2.19268  1.448 3.989  4.234 11.6   0.038 0.00 12.749 13.075 12.856 13.095 13.313 13.485 12.896  2.193
 1   8.33  0.13  2.02424  1.251 3.941  4.202  9.0   0.032 0.00 10.642 10.758 10.613 10.761 10.937 11.090 10.613  2.024
 1   8.35  0.15  3.57772  2.426 4.000  3.511 10.6   0.037 0.00  9.304  9.664  9.415  9.690  9.924 10.079  9.485  3.578
 1   8.35  0.17  1.48942  0.665 3.838  4.245  9.3   0.034 0.00 12.407 12.371 12.525 12.324 12.333 12.400 12.416  1.489
 1   8.39  0.13  1.33441  0.456 3.813  4.306  8.2   0.028 0.00 11.830 11.783 12.018 11.728 11.696 11.737 11.882  1.334
 1   8.41 -0.27  3.48562  2.493 3.726  2.336 10.7   0.037 0.00  9.238  9.250  9.787  9.182  9.010  8.939  9.537  3.486
 1   8.43  0.13  1.40646  0.566 3.826  4.272 10.5   0.037 0.00 13.856 13.821 14.014 13.770 13.758 13.811 13.892  1.406
 1   8.45 -0.05  0.93313 -0.284 3.731  4.562  6.8   0.019 0.00 12.279 12.270 12.802 12.198 12.040 11.981 12.602  0.933
 1   8.45  0.01  1.13170  0.128 3.780  4.431  8.8   0.031 0.00 13.249 13.213 13.558 13.151 13.067 13.067 13.388  1.132
 1   8.45  0.23  2.14125  1.355 3.944  4.135 10.4   0.037 0.00 11.783 11.904 11.751 11.908 12.090 12.243 11.757  2.141
 1   8.45  0.35  1.55321  0.745 3.847  4.220 10.1   0.036 0.00 13.009 12.962 13.095 12.915 12.941 13.022 12.990  1.553
 1   8.47  0.29  2.85699  1.943 3.990  3.856  8.6   0.030 0.00  8.513  8.810  8.575  8.832  9.059  9.225  8.632  2.857
 1   8.49  0.03  1.93638  1.206 3.935  4.207 10.1   0.036 0.00 11.855 11.966 11.834 11.967 12.134 12.282 11.828  1.936
 1   8.49  0.15  1.25078  0.321 3.797  4.346  8.5   0.029 0.00 12.468 12.417 12.713 12.357 12.298 12.320 12.557  1.251
 1   8.49  0.21  1.28471  0.369 3.800  4.323  9.1   0.033 0.00 12.949 12.896 13.184 12.834 12.781 12.808 13.030  1.285
 1   8.51 -0.21  1.50598  0.801 3.887  4.308  5.8   0.013 0.00  8.567  8.588  8.584  8.564  8.652  8.767  8.528  1.506
 1   8.51  0.07  1.13711  0.127 3.778  4.424  7.3   0.022 0.00 11.754 11.705 12.061 11.640 11.554 11.555 11.887  1.137
 1   8.53 -0.07  3.01639  2.155 3.969  3.585 13.7   0.038 0.00 13.082 13.317 13.102 13.336 13.547 13.690 13.149  3.016
 1   8.53 -0.03  1.13642  0.151 3.784  4.423  8.5   0.029 0.00 12.892 12.857 13.188 12.797 12.717 12.721 13.022  1.136
 1   8.53 -0.01  1.74432  1.024 3.908  4.235 11.5   0.038 0.00 13.711 13.767 13.707 13.752 13.877 14.008 13.671  1.744
 1   8.55 -0.35  2.90889  2.252 4.020  3.676  9.5   0.034 0.00  8.641  9.126  8.870  9.154  9.391  9.558  8.941  2.909
 1   8.55  0.17  3.00347  2.102 3.938  3.512 10.0   0.036 0.00  9.514  9.617  9.447  9.624  9.810  9.941  9.471  3.003
 1   8.55  0.19  2.39518  1.595 3.959  4.004  9.5   0.034 0.00 10.282 10.457 10.269 10.469 10.669 10.825 10.294  2.395
 1   8.55  0.27  1.07290 -0.028 3.755  4.463  7.8   0.025 0.00 12.640 12.593 13.055 12.517 12.398 12.374 12.859  1.073
 1   8.55  0.31  2.04416  1.279 3.926  4.122 10.6   0.037 0.00 12.173 12.237 12.123 12.233 12.393 12.538 12.111  2.044
 1   8.55  0.49  2.16596  1.392 3.940  4.087 10.0   0.036 0.00 11.290 11.380 11.235 11.381 11.561 11.715 11.239  2.166
 1   8.57 -0.17  3.18392  2.321 3.694  2.340  8.9   0.032 0.00  7.867  7.938  8.633  7.865  7.640  7.527  8.341  3.184
 1   8.57 -0.13  1.32903  0.528 3.836  4.325 10.5   0.037 0.00 13.951 13.948 14.100 13.904 13.903 13.962 13.994  1.329
 1   8.57 -0.01  2.95762  2.111 3.946  3.530 11.5   0.038 0.00 10.994 11.135 10.950 11.147 11.340 11.472 10.980  2.958
 1   8.57  0.03  1.22391  0.305 3.799  4.363  9.0   0.032 0.00 13.008 12.971 13.250 12.914 12.857 12.879 13.101  1.224
 1   8.59 -0.07  0.88578 -0.377 3.720  4.589  8.3   0.028 0.00 14.013 14.029 14.609 13.956 13.777 13.703 14.413  0.886
 1   8.59  0.05  2.26258  1.519 3.960  4.058 11.3   0.038 0.00 12.273 12.463 12.277 12.475 12.673 12.828 12.300  2.263
 1   8.59  0.09  1.10957  0.071 3.771  4.441  7.7   0.025 0.00 12.292 12.247 12.631 12.180 12.083 12.075 12.450  1.110
 1   8.61 -0.17  1.52878  0.825 3.886  4.287  7.5   0.023 0.00 10.207 10.232 10.233 10.207 10.293 10.405 10.175  1.528
 1   8.61 -0.15  1.42489  0.680 3.860  4.299  7.6   0.024 0.00 10.671 10.673 10.749 10.638 10.679 10.765 10.668  1.425
 1   8.61  0.29  0.99083 -0.201 3.734  4.516  8.6   0.030 0.00 13.873 13.853 14.409 13.773 13.619 13.567 14.209  0.991
 1   8.63 -0.19  2.24313  1.589 3.982  4.072 11.7   0.038 0.00 12.497 12.792 12.578 12.812 13.026 13.189 12.617  2.243
 1   8.63  0.13  1.12336  0.091 3.771  4.429  8.5   0.029 0.00 13.042 12.997 13.385 12.929 12.833 12.825 13.203  1.123
 1   8.63  0.17  2.09808  1.349 3.929  4.073 10.5   0.037 0.00 11.897 11.978 11.854 11.976 12.140 12.283 11.847  2.098
 1   8.63  0.21  2.52455  1.730 3.945  3.835 10.3   0.037 0.00 10.746 10.869 10.700 10.876 11.064 11.208 10.719  2.525
 1   8.63  0.23  1.16655  0.161 3.777  4.396  8.1   0.027 0.00 12.467 12.411 12.785 12.342 12.255 12.256 12.607  1.166
 1   8.65 -0.17  2.91520  2.117 3.704  2.548 10.0   0.036 0.00  9.477  9.528 10.173  9.456  9.249  9.149  9.895  2.915
 1   8.65 -0.11  1.09799  0.097 3.781  4.452  8.9   0.032 0.00 13.427 13.400 13.738 13.340 13.255 13.254 13.570  1.098
 1   8.65  0.03  2.92687  1.993 3.693  2.630 11.6   0.038 0.00 11.387 11.461 12.177 11.383 11.159 11.045 11.891  2.927
 1   8.67 -0.15  2.75362  1.916 3.704  2.725  9.7   0.035 0.00  9.681  9.731 10.375  9.659  9.452  9.353 10.101  2.754
 1   8.67 -0.03  0.77779 -0.666 3.679  4.655  6.4   0.017 0.00 12.836 12.947 13.737 12.871 12.613 12.479 13.637  0.778
 1   8.67  0.09  1.40386  0.585 3.828  4.260  9.8   0.035 0.00 13.108 13.077 13.260 13.028 13.018 13.073 13.142  1.404
 1   8.67  0.17  1.71575  0.960 3.877  4.168  9.2   0.033 0.00 11.570 11.561 11.591 11.529 11.606 11.713 11.522  1.715
 1   8.69 -0.15  1.51922  0.816 3.881  4.274  5.8   0.013 0.00  8.530  8.540  8.550  8.513  8.593  8.703  8.490  1.519
 1   8.69 -0.13  1.01908 -0.059 3.763  4.502  8.3   0.028 0.00 13.217 13.194 13.598 13.130 13.017 12.995 13.413  1.019
 1   8.69 -0.09  1.89534  1.231 3.934  4.168  9.4   0.034 0.00 11.093 11.206 11.073 11.207 11.372 11.518 11.068  1.894
 1   8.69 -0.05  1.08028  0.049 3.772  4.457  9.0   0.032 0.00 13.648 13.618 13.992 13.555 13.457 13.446 13.813  1.080
 1   8.69  0.21  1.37051  0.510 3.815  4.271  8.8   0.031 0.00 12.295 12.244 12.477 12.188 12.159 12.203 12.341  1.370
 1   8.69  0.21  1.89830  1.155 3.900  4.107 11.9   0.038 0.00 13.782 13.799 13.761 13.779 13.897 14.023 13.717  1.898
 1   8.69  0.25  1.46611  0.646 3.831  4.228  9.3   0.034 0.00 12.456 12.408 12.590 12.357 12.355 12.416 12.471  1.466
 1   8.69  0.33  0.45706 -1.508 3.581  4.874  4.3   0.007 0.00 12.839 13.513 14.963 13.721 12.867 12.374 14.864  0.457
 1   8.71 -0.13  1.35599  0.579 3.842  4.307 10.6   0.037 0.00 13.922 13.922 14.056 13.881 13.890 13.955 13.956  1.356
 1   8.71  0.11  1.42011  0.605 3.830  4.250  7.8   0.025 0.00 11.057 11.015 11.191 10.966 10.961 11.020 11.075  1.420
 1   8.73 -0.09  1.08561  0.070 3.777  4.456  9.0   0.032 0.00 13.595 13.567 13.922 13.505 13.413 13.407 13.748  1.086
 1   8.73  0.13  2.64359  1.784 3.688  2.773  9.7   0.035 0.00 10.010 10.096 10.850 10.017  9.782  9.661 10.570  2.644
 1   8.73  0.31  1.21267  0.253 3.786  4.360  8.4   0.029 0.00 12.538 12.475 12.820 12.408 12.336 12.349 12.650  1.213
 1   8.75 -0.19  1.09191  0.114 3.788  4.459  7.2   0.021 0.00 11.686 11.657 11.965 11.600 11.525 11.532 11.807  1.092
 1   8.75 -0.03  1.10671  0.102 3.777  4.435  7.0   0.020 0.00 11.515 11.472 11.823 11.410 11.322 11.321 11.650  1.107
 1   8.75 -0.03  0.85044 -0.478 3.705  4.610  8.0   0.026 0.00 13.964 14.009 14.662 13.933 13.728 13.633 14.486  0.850
 1   8.75  0.25  1.52525  0.730 3.840  4.196  8.8   0.031 0.00 11.745 11.699 11.850 11.651 11.665 11.736 11.741  1.525
 1   8.75  0.25  1.80298  1.062 3.884  4.112 10.5   0.037 0.00 12.614 12.607 12.619 12.578 12.668 12.781 12.557  1.802
 1   8.77 -0.09  2.00895  1.367 3.934  4.057 10.5   0.037 0.00 11.852 11.965 11.827 11.968 12.136 12.278 11.827  2.009
 1   8.77  0.27  1.42832  0.600 3.824  4.236  7.0   0.020 0.00 10.271 10.206 10.407 10.152 10.141 10.198 10.281  1.428
 1   8.77  0.31  1.10539  0.048 3.764  4.435  6.8   0.019 0.00 11.450 11.389 11.818 11.314 11.210 11.198 11.629  1.105
 1   8.79 -0.07  1.20507  0.304 3.804  4.376  9.5   0.034 0.00 13.511 13.485 13.745 13.431 13.380 13.404 13.603  1.205
 1   8.79 -0.07  1.68014  1.002 3.896  4.190 10.9   0.037 0.00 13.165 13.202 13.176 13.182 13.286 13.406 13.128  1.679
 1   8.79  0.09  1.04395 -0.055 3.756  4.481  8.7   0.031 0.00 13.607 13.576 14.021 13.505 13.384 13.357 13.827  1.044
 1   8.79  0.43  2.47030  1.754 3.873  3.516 11.6   0.038 0.00 11.984 11.936 11.958 11.903 11.992 12.090 11.893  2.470
 1   8.81  0.31  1.63238  0.873 3.855  4.145  8.7   0.031 0.00 11.288 11.245 11.346 11.201 11.243 11.331 11.252  1.632
 1   8.81  0.47  1.40546  0.572 3.820  4.241  7.7   0.025 0.00 11.041 10.961 11.188 10.901 10.886 10.942 11.051  1.405
 1   8.83 -0.19  0.83084 -0.465 3.713  4.618  7.6   0.024 0.00 13.532 13.564 14.167 13.492 13.299 13.214 13.979  0.831
 1   8.83 -0.01  1.12153  0.136 3.780  4.419  8.8   0.031 0.00 13.231 13.196 13.541 13.134 13.049 13.049 13.370  1.121
 1   8.83  0.07  1.08755  0.043 3.768  4.449  9.2   0.033 0.00 13.862 13.827 14.224 13.760 13.657 13.643 14.040  1.087
 1   8.83  0.11  1.65912  0.931 3.869  4.149 10.2   0.036 0.00 12.642 12.634 12.687 12.599 12.661 12.758 12.612  1.658
 1   8.83  0.17  1.39629  0.567 3.821  4.244 10.2   0.036 0.00 13.552 13.510 13.723 13.457 13.436 13.484 13.594  1.396
 1   8.83  0.27  1.56888  0.796 3.845  4.164  8.5   0.029 0.00 11.280 11.233 11.365 11.186 11.210 11.288 11.262  1.568
 1   8.83  0.33  1.91328  1.197 3.887  4.015 11.1   0.038 0.00 12.877 12.865 12.866 12.837 12.936 13.052 12.807  1.913
 1   8.85 -0.09  1.12380  0.153 3.786  4.427  9.2   0.033 0.00 13.588 13.562 13.882 13.503 13.426 13.430 13.720  1.124
 1   8.85  0.11  1.33959  0.497 3.815  4.275 10.3   0.037 0.00 13.827 13.791 14.019 13.737 13.707 13.747 13.886  1.339
 1   8.87 -0.23  1.72029  1.127 3.917  4.161 11.1   0.038 0.00 13.054 13.136 13.047 13.129 13.268 13.401 13.024  1.719
 1   8.87 -0.11  1.80998  1.186 3.909  4.093  9.9   0.036 0.00 11.705 11.763 11.691 11.751 11.881 12.009 11.662  1.809
 1   8.87  0.01  1.53356  0.805 3.857  4.194 10.1   0.036 0.00 12.857 12.851 12.938 12.813 12.852 12.935 12.852  1.533
 1   8.87  0.05  1.27277  0.408 3.808  4.312  8.5   0.029 0.00 12.250 12.210 12.459 12.155 12.114 12.146 12.319  1.272
 1   8.87  0.05  1.32424  0.491 3.817  4.283 10.2   0.036 0.00 13.743 13.713 13.932 13.660 13.632 13.674 13.802  1.324
 1   8.87  0.13  2.06315  1.384 3.888  3.866  9.3   0.034 0.00 10.611 10.611 10.593 10.587 10.690 10.801 10.544  2.063
 1   8.87  0.25  1.83637  1.121 3.875  4.027 11.1   0.038 0.00 13.069 13.049 13.084 13.016 13.092 13.198 13.014  1.835
 1   8.89 -0.27  1.33155  0.615 3.855  4.311  5.9   0.014 0.00  9.132  9.132  9.218  9.096  9.127  9.208  9.135  1.331
